Hartwell	ID	Strain	Clone	seq_well	seq_col	seq_row
AYCs001	9V	1	1	A1	1	A
AYCs002	9V	15B/C	3	B1	1	B
AYCs003	9V	35B	1*	C1	1	C
AYCs004	15B/C	8	7	D1	1	D
AYCs005	15B/C	18C	3	E1	1	E
AYCs006	22F	3	10	F1	1	F
AYCs007	22F	14	1	G1	1	G
AYCs008	22F	23A	1	H1	1	H
AYCs009	9V	1	4	A2	2	A
AYCs010	9V	16F	1	B2	2	B
AYCs011	9V	35B	8*	C2	2	C
AYCs012	15B/C	9V	1	D2	2	D
AYCs013	15B/C	19A	3	E2	2	E
AYCs014	22F	5	1	F2	2	F
AYCs015	22F	14	2	G2	2	G
AYCs016	22F	24F	1	H2	2	H
AYCs017	9V	3	2	A3	3	A
AYCs018	9V	18C	4*	B3	3	B
AYCs019	9V	35F	2*	C3	3	C
AYCs020	15B/C	9V	2	D3	3	D
AYCs021	15B/C	22F	2	E3	3	E
AYCs022	22F	5	2	F3	3	F
AYCs023	22F	11A	1	G3	3	G
AYCs024	22F	33F	1	H3	3	H
AYCs025	9V	3	3	A4	4	A
AYCs026	9V	19A	1	B4	4	B
AYCs027	9V	35F	3*	C4	4	C
AYCs028	15B/C	11A	3	D4	4	D
AYCs029	15B/C	23A	2	E4	4	E
AYCs030	22F	6C	2	F4	4	F
AYCs031	22F	11A	2	G4	4	G
AYCs032	22F	33F	2	H4	4	H
AYCs033	9V	6C	1	A5	5	A
AYCs034	9V	19A	2	B5	5	B
AYCs035	15B/C	1	2	C5	5	C
AYCs036	15B/C	11A	4	D5	5	D
AYCs037	15B/C	23A	6	E5	5	E
AYCs038	22F	6C	4	F5	5	F
AYCs039	22F	15B/C	1	G5	5	G
AYCs040	22F	35B	2	H5	5	H
AYCs041	9V	7C	1	A6	6	A
AYCs042	9V	22F	1	B6	6	B
AYCs043	15B/C	3	2	C6	6	C
AYCs044	15B/C	14	2	D6	6	D
AYCs045	15B/C	24F	2	E6	6	E
AYCs046	22F	7C	1	F6	6	F
AYCs047	22F	15B/C	2	G6	6	G
AYCs048	22F	35B	3	H6	6	H
AYCs049	9V	7F	1*	A7	7	A
AYCs050	9V	22F	2	B7	7	B
AYCs051	15B/C	3	3	C7	7	C
AYCs052	15B/C	14	3	D7	7	D
AYCs053	15B/C	33F	4	E7	7	E
AYCs054	22F	7F	1	F7	7	F
AYCs055	22F	16F	1	G7	7	G
AYCs056	22F	35F	1	H7	7	H
AYCs057	9V	8	1	A8	8	A
AYCs058	9V	23A	1	B8	8	B
AYCs059	15B/C	6C	3	C8	8	C
AYCs060	15B/C	15B/C	2	D8	8	D
AYCs061	15B/C	35B	1	E8	8	E
AYCs062	22F	7F	2	F8	8	F
AYCs063	22F	16F	2	G8	8	G
AYCs064	22F	35F	2	H8	8	H
AYCs065	9V	8	2	A9	9	A
AYCs066	9V	23A	2	B9	9	B
AYCs067	15B/C	15B/C	4	D9	9	D
AYCs068	15B/C	35F	1	E9	9	E
AYCs069	22F	8	1	F9	9	F
AYCs070	22F	18C	1	G9	9	G
AYCs071	15B/C	6C	6	H9	9	H
AYCs072	9V	12F	1	A10	10	A
AYCs073	9V	24F	1	B10	10	B
AYCs074	15B/C	7C	1	C10	10	C
AYCs075	15B/C	16F	4	D10	10	D
AYCs076	15B/C	35F	3	E10	10	E
AYCs077	22F	8	3	F10	10	F
AYCs078	22F	19A	7	G10	10	G
AYCs079	9V	NA	NA	H10	10	H
AYCs080	9V	14	1	A11	11	A
AYCs081	9V	33F	1	B11	11	B
AYCs082	15B/C	7F	2	C11	11	C
AYCs083	15B/C	16F	9	D11	11	D
AYCs084	22F	3	6	E11	11	E
AYCs085	22F	9V	1	F11	11	F
AYCs086	22F	19A	8	G11	11	G
AYCs087	15B/C	NA	NA	H11	11	H
AYCs088	9V	15B/C	1	A12	12	A
AYCs089	9V	33F	3	B12	12	B
AYCs090	15B/C	8	1	C12	12	C
AYCs091	15B/C	18C	2	D12	12	D
AYCs092	22F	3	7	E12	12	E
AYCs093	22F	9V	2	F12	12	F
AYCs094	22F	22F	1	G12	12	G
AYCs095	22F	NA	NA	H12	12	H
